EmployeeNumber,Gender,City,JobTitle,Age,LengthService,AbsentHours,AbsentRate
1,0,Burnaby,Baker,32.02881569,6.018478474,36.57730606,1.758524329807692
2,1,Courtenay,Baker,40.32090167,5.532444578,30.16507231,1.4502438610576924
3,1,Richmond,Baker,48.82204661,4.389973118,83.80779766,4.029221041346154
4,0,Victoria,Baker,44.59935722,3.081735738,70.02016505,3.3663540889423076
5,1,New Westminster,Baker,35.69787561,3.619091448,0.0,0.0
6,1,Richmond,Baker,48.44031059,2.717692452,81.83007916,3.934138421153846
7,1,Vancouver,Accounting Clerk,50.75273,10.157918,60.49507152,2.9084169
8,1,Sechelt,Baker,36.2160312,4.432122862,30.07290192,1.4458125923076923
9,1,New Westminster,Baker,58.42738025,6.940120524,181.630819,8.732250913461538
10,1,Vancouver,Accounting Clerk,39.85398,13.848321,30.66440832,1.4742504
11,1,New Westminster,Baker,46.54758052,4.872038321,28.01835332,1.3470362173076922
13,1,North Vancouver,Baker,37.72801116,3.621141838,0.0,0.0
14,0,Vananda,Baker,30.78519091,4.583328091,34.33444296,1.650694373076923
15,1,Vancouver,Accounting Clerk,49.92338,4.883225,0.0,0.0
16,1,Vancouver,Accounting Clerk,42.79789,19.107198,21.65982312,1.04133765
17,0,Vancouver,Accounting Clerk,48.6213,9.940272,0.0,0.0
18,0,West Vancouver,Baker,41.85581217,2.559053659,55.09983109,2.6490303408653846
19,0,New Westminster,Baker,51.00873723,5.30277286,81.59554037,3.9228625177884613
20,0,Vancouver,Accounting Clerk,36.91041,11.22628,94.66856131,4.551373139903847
21,1,Burnaby,Baker,57.90324297,3.300303735,108.3801763,5.210585399038462
22,0,New Westminster,Baker,24.47030259,3.147510228,0.0,0.0
23,0,Vancouver,Accounting Clerk,49.51672,6.5335,67.74078948,3.2567687250000006
24,0,Victoria,Baker,60.5955091,4.465036581,158.7045089,7.630024466346154
25,1,Nanaimo,Baker,35.80466401,4.626920266,0.0,0.0
26,0,Aldergrove,Baker,35.87338778,3.101925634,48.0170507,2.3085120528846153
27,1,Kelowna,Baker,41.93560641,4.557230329,42.78802656,2.0571166615384615
28,1,Trail,Baker,35.49790596,5.174673648,34.52427221,1.6598207793269233
29,1,Vancouver,Accounting Clerk,40.02887,12.185467,59.88316464,2.8789982999999997
30,1,Aldergrove,Baker,49.75658466,4.313617694,100.6740987,4.840100899038462
31,1,Penticton,Baker,38.11173232,3.493533521,9.522523814,0.4578136449038461
32,0,Vancouver,Accounting Clerk,42.8715,19.006436,38.88332344,1.86939055
33,1,Duncan,Baker,49.94274462,5.775266268,129.8357633,6.242104004807692
35,0,Crawford Bay,Baker,23.74733283,2.992041355,0.0,0.0
36,1,Vancouver,Accounting Clerk,36.196064,18.196064,0.0,0.0
37,0,Courtenay,Baker,51.56495808,4.641869886,75.25704812,3.618127313461538
38,0,Port Hardy,Baker,40.41201341,6.192268184,58.97153025,2.8351697235576925
39,1,Kelowna,Baker,52.44651862,4.29126449,134.6683839,6.474441533653846
40,1,Logan Lake,Baker,20.02556154,4.483391669,0.0,0.0
41,0,Abbotsford,Baker,44.60660014,4.862142071,78.34173929,3.7664297735576926
43,0,Burnaby,Baker,41.25328235,2.018782807,56.21994065,2.702881762019231
44,1,Surrey,Baker,62.05182058,5.473604647,152.6467667,7.338786860576923
45,0,Victoria,Baker,28.07544199,5.776657666,0.0,0.0
46,0,Surrey,Baker,49.90577748,5.357402979,80.24254043,3.85781444375
47,1,Vancouver,Accounting Clerk,50.07982,1.0,78.7532824,3.7862155
48,1,Squamish,Baker,33.80945018,5.654808747,0.0,0.0
49,0,Good Hope Lake,Baker,51.60595642,3.9855896,88.91127783,4.274580664903847
50,1,Vancouver,Accounting Clerk,38.678832,20.678832,21.38553248,1.0281506
51,1,Burnaby,Baker,30.29765034,7.560140987,3.737100223,0.17966827995192308
52,1,Penticton,Baker,43.68608721,0.385746182,38.06658377,1.8301242197115386
53,1,New Westminster,Baker,50.04741662,5.702536846,116.2269635,5.587834783653846
54,0,Nanaimo,Baker,34.68894529,4.721105791,0.0,0.0
55,1,Abbotsford,Baker,29.32983419,3.28103742,0.0,0.0
56,0,Sidney,Baker,50.01054543,3.653801673,77.13030678,3.7081878259615384
57,1,Coquitlam,Baker,24.50853,4.796216863,0.0,0.0
58,1,Chilliwack,Baker,42.62840469,4.124606978,24.79287091,1.1919649475961538
59,1,Okanagan Mission,Baker,54.04930086,4.060790515,121.4480075,5.838846514423078
60,1,New Westminster,Baker,43.91047001,4.197598793,59.7836809,2.8742154278846153
61,1,Ganges,Baker,42.59140213,5.101161761,55.62426288,2.6742434076923076
62,0,Vancouver,Accounts Payable Clerk,55.76305,10.623616,0.0,0.0
63,0,Prince George,Baker,31.16665889,0.775517909,0.0,0.0
64,1,Atlin,Baker,43.26243975,5.843569409,55.05895104,2.647064953846154
65,0,Kamloops,Baker,35.61924833,3.679095448,44.6346054,2.1458944903846153
66,1,Whistler,Baker,39.26200269,5.748053523,42.45739254,2.0412207951923076
67,0,Surrey,Baker,22.5364126,5.897640636,0.0,0.0
68,0,Vancouver,Accounts Payable Clerk,39.73937,11.885504,0.0,0.0
69,0,Spences Bridge,Baker,46.94959435,2.024655355,107.7955005,5.182475985576923
