CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Exited,Type
15634602,619.0,France,0.0,42,2,0.0,1,101348.88,1,test
15647311,608.0,Spain,0.0,41,1,83807.86,1,112542.58,0,train
15619304,502.0,France,0.0,42,8,159660.8,3,113931.57,1,train
15701354,699.0,France,0.0,39,1,0.0,2,93826.63,0,test
15737888,850.0,Spain,0.0,43,2,125510.82,1,79084.1,0,train
15574012,645.0,Spain,1.0,44,8,113755.78,2,149756.71,1,train
15592531,822.0,France,1.0,50,7,0.0,2,10062.8,0,test
15656148,376.0,Germany,0.0,29,4,115046.74,4,119346.88,1,train
15792365,501.0,France,1.0,44,4,142051.07,2,74940.5,0,train
15592389,,France,1.0,27,2,134603.88,1,71725.73,0,test
15767821,528.0,France,1.0,31,6,102016.72,2,80181.12,0,train
15737173,497.0,Spain,1.0,24,3,0.0,2,76390.01,0,train
15632264,476.0,France,0.0,34,10,0.0,2,26260.98,0,test
15691483,549.0,France,0.0,25,5,0.0,2,190857.79,0,train
15600882,635.0,Spain,0.0,35,7,0.0,2,65951.65,0,train
15643966,616.0,Germany,1.0,45,3,143129.41,2,64327.26,0,test
15737452,653.0,Germany,1.0,58,1,132602.88,1,5097.67,1,train
15788218,549.0,Spain,0.0,24,9,0.0,2,14406.41,0,train
15661507,587.0,Spain,1.0,45,6,0.0,1,158684.81,0,test
15568982,726.0,France,0.0,24,6,0.0,2,54724.03,0,train
15577657,732.0,France,1.0,41,8,0.0,2,170886.17,0,train
15597945,636.0,Spain,0.0,32,8,0.0,2,138555.46,0,test
15699309,510.0,Spain,0.0,38,4,0.0,1,118913.53,1,train
15725737,669.0,France,1.0,46,3,0.0,2,8487.75,0,train
15625047,846.0,France,0.0,38,5,0.0,1,187616.16,0,test
15738191,577.0,France,1.0,25,3,0.0,2,124508.29,0,train
15736816,756.0,Germany,1.0,36,2,136815.64,1,170041.95,0,train
15700772,,France,1.0,44,9,0.0,2,38433.35,0,test
15728693,574.0,Germany,0.0,43,3,141349.43,1,100187.43,0,train
15656300,411.0,France,1.0,29,0,59697.17,2,53483.21,0,train
15589475,591.0,Spain,0.0,39,3,0.0,3,140469.38,1,test
15706552,533.0,France,1.0,36,7,85311.7,1,156731.91,0,train
15750181,553.0,Germany,1.0,41,9,110112.54,2,81898.81,0,train
15659428,,Spain,0.0,42,6,0.0,2,34410.55,0,test
15732963,722.0,Spain,0.0,29,9,0.0,2,142033.07,0,train
15794171,475.0,France,0.0,45,0,134264.04,1,27822.99,1,train
15788448,490.0,Spain,1.0,31,3,145260.23,1,114066.77,0,test
15729599,804.0,Spain,1.0,33,7,76548.6,1,98453.45,0,train
15717426,850.0,France,1.0,36,7,0.0,1,40812.9,0,train
15585768,582.0,Germany,1.0,41,6,70349.48,2,178074.04,0,test
15619360,472.0,Spain,1.0,40,4,0.0,1,70154.22,0,train
15738148,465.0,France,0.0,51,8,122522.32,1,181297.65,1,train
15687946,556.0,France,0.0,61,2,117419.35,1,94153.83,0,test
15755196,834.0,France,0.0,49,2,131394.56,1,194365.76,1,train
15684171,660.0,Spain,0.0,61,5,155931.11,1,158338.39,0,train
15754849,776.0,Germany,0.0,32,4,109421.13,2,126517.46,0,test
15602280,829.0,Germany,0.0,27,9,112045.67,1,119708.21,1,train
15771573,637.0,Germany,0.0,39,9,137843.8,1,117622.8,1,train
15766205,550.0,Germany,1.0,38,2,103391.38,1,90878.13,0,test
15771873,776.0,Germany,0.0,37,2,103769.22,2,194099.12,0,train
15616550,698.0,Germany,1.0,44,10,116363.37,2,198059.16,0,train
15768193,585.0,Germany,1.0,36,5,146050.97,2,86424.57,0,test
